epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3800.09,0.42024,0.25996,0.9155,0.99913,0.98592,0.98769,0.95357,0.28323,0.18362,0.89971,0.0003566,0.0003566,0.0003566
85,3853.85,0.40865,0.25275,0.91465,0.99918,0.98592,0.98932,0.96416,0.27081,0.19791,0.85076,0.0003368,0.0003368,0.0003368
86,3909.79,0.41456,0.2493,0.9153,0.99915,0.98592,0.98871,0.96511,0.28516,0.18091,0.89134,0.000317,0.000317,0.000317
87,3963.22,0.41988,0.25346,0.91394,0.9991,0.98592,0.98871,0.96556,0.27259,0.17956,0.88347,0.0002972,0.0002972,0.0002972
88,4016.78,0.40612,0.24403,0.91507,0.99917,0.98592,0.98936,0.97297,0.26313,0.18408,0.85834,0.0002774,0.0002774,0.0002774
89,4070.39,0.41731,0.24859,0.918,0.99918,0.98592,0.98868,0.97504,0.27678,0.18179,0.86346,0.0002576,0.0002576,0.0002576
90,4123.12,0.41274,0.24718,0.90821,0.99919,0.98592,0.98671,0.9645,0.27296,0.18771,0.86592,0.0002378,0.0002378,0.0002378
91,4266.31,0.29349,0.20074,0.87206,0.99919,0.98592,0.98815,0.96745,0.27771,0.18109,0.8799,0.000218,0.000218,0.000218
92,4328.23,0.2971,0.19476,0.86633,0.99918,0.98592,0.98925,0.96396,0.28118,0.18336,0.8817,0.0001982,0.0001982,0.0001982
93,4399.47,0.2899,0.18823,0.87,0.9992,0.98592,0.98973,0.96687,0.28284,0.1704,0.89185,0.0001784,0.0001784,0.0001784
94,4470.86,0.28608,0.18617,0.86363,0.99921,0.98592,0.98987,0.97078,0.28314,0.17906,0.88149,0.0001586,0.0001586,0.0001586
95,4541.08,0.28457,0.18734,0.86142,0.99922,0.98592,0.98952,0.96227,0.27841,0.18269,0.8963,0.0001388,0.0001388,0.0001388
96,4613.12,0.28173,0.18116,0.86,0.99923,0.98592,0.98987,0.9683,0.27082,0.17337,0.88849,0.000119,0.000119,0.000119
97,4678.63,0.26845,0.17347,0.84644,0.99923,0.98592,0.98978,0.97128,0.27122,0.16299,0.89108,9.92e-05,9.92e-05,9.92e-05
98,4757.35,0.26968,0.17327,0.8505,0.99921,0.98592,0.98983,0.97261,0.26313,0.15986,0.88951,7.94e-05,7.94e-05,7.94e-05
99,4841.4,0.2674,0.1731,0.85546,0.9992,0.98592,0.98992,0.97323,0.25854,0.16007,0.87918,5.96e-05,5.96e-05,5.96e-05
100,4908.39,0.27184,0.17449,0.85222,0.99921,0.98592,0.98987,0.97486,0.25611,0.16315,0.87412,3.98e-05,3.98e-05,3.98e-05
